region,crop,crop_variety,season,soil_ph,soil_moisture_pct,nitrogen_N_mg_kg,phosphorus_P_mg_kg,potassium_K_mg_kg,rainfall_mm,temperature_c,farm_size_acres,yield_value,yield_unit,yield_category
Eastern,Tomato,F1 Hybrid,Major,5.65,59.7,62.0,37.5,92.2,1209.8,28.8,1.73,3208.0,kg_per_acre,Medium
Western,Tomato,Local,Minor,5.99,59.2,49.7,38.4,20.0,1906.2,26.8,6.04,1637.2,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,5.36,22.7,164.1,29.1,69.2,1017.1,27.5,2.1,7.03,bags_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Minor,5.49,46.4,115.8,53.6,102.7,1192.4,26.9,0.5,3182.0,kg_per_acre,Medium
Eastern,Maize,Pioneer 30G19,Minor,5.97,70.6,105.4,41.7,20.0,1160.3,30.0,1.14,12.43,bags_per_acre,Medium
Eastern,Maize,Pioneer 30G19,Major,6.05,38.8,77.7,49.9,147.5,1261.7,25.9,1.31,17.55,bags_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Major,5.95,36.5,67.9,11.0,238.1,1406.3,25.5,5.17,15.08,bags_per_acre,Medium
Ashanti,Tomato,F1 Hybrid,Major,6.21,49.2,103.4,74.1,128.5,1307.5,24.8,2.67,4475.9,kg_per_acre,Medium
Western,Tomato,Pectomech,Minor,6.66,24.1,62.6,33.1,152.7,2146.8,23.0,1.74,1748.8,kg_per_acre,Low
Volta,Maize,Local,Minor,4.97,55.1,73.9,51.2,114.6,1010.7,29.2,0.52,6.64,bags_per_acre,Low
Brong-Ahafo,Tomato,Local,Major,6.62,51.3,37.2,2.0,67.9,1582.9,28.3,0.5,1043.2,kg_per_acre,Low
Eastern,Tomato,Local,Major,5.39,44.9,130.6,46.3,105.8,1257.6,25.0,1.5,1703.8,kg_per_acre,Low
Eastern,Maize,Local,Major,6.0,42.7,104.3,28.2,119.8,1432.6,26.1,0.5,10.25,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Minor,5.41,84.9,42.7,39.4,34.3,1136.1,27.8,0.94,8.39,bags_per_acre,Low
Ashanti,Tomato,Pectomech,Major,5.65,64.8,156.0,56.4,89.9,1465.1,24.6,0.92,3291.1,kg_per_acre,Medium
Brong-Ahafo,Maize,Hybrid OPV,Major,6.55,88.4,133.2,35.9,65.5,1408.8,28.6,0.5,9.39,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Major,7.17,50.1,12.3,20.9,77.6,1090.9,26.5,1.06,5.53,bags_per_acre,Low
Northern,Maize,Hybrid OPV,Major,7.29,36.1,175.5,52.9,169.3,1168.3,30.0,5.96,9.94,bags_per_acre,Low
Western,Maize,Local,Major,5.87,26.9,198.4,45.4,141.6,1935.3,26.9,3.84,8.67,bags_per_acre,Low
Eastern,Tomato,Local,Minor,5.67,75.6,60.9,27.1,139.9,1695.6,25.2,0.98,1713.5,kg_per_acre,Low
Ashanti,Tomato,Pectomech,Major,6.2,58.4,27.5,62.6,104.4,1348.0,24.9,2.82,2382.6,kg_per_acre,Low
Western,Tomato,Pectomech,Major,4.64,29.8,116.6,31.1,120.5,1593.8,26.2,0.5,1044.9,kg_per_acre,Low
Volta,Maize,Local,Minor,5.85,40.2,98.1,6.1,20.0,1028.8,27.6,9.21,5.16,bags_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Minor,5.42,26.7,18.2,7.9,91.0,1751.6,25.7,4.2,1210.3,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,6.25,46.6,84.4,49.8,25.0,1637.3,26.6,0.5,3439.8,kg_per_acre,Medium
Brong-Ahafo,Tomato,Pectomech,Major,6.69,49.6,45.1,68.4,116.9,1124.3,24.6,0.63,2867.7,kg_per_acre,Medium
Ashanti,Maize,Local,Major,5.74,54.3,57.1,57.4,130.0,1398.3,26.0,4.57,10.56,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Major,5.66,54.2,58.7,48.5,123.7,1427.9,30.4,0.5,16.16,bags_per_acre,Medium
Ashanti,Tomato,Local,Minor,5.9,63.4,82.8,38.2,139.2,1475.1,27.3,0.81,1956.9,kg_per_acre,Low
Western,Maize,Pioneer 30G19,Major,4.57,46.3,88.7,24.7,206.5,2089.5,28.7,2.21,8.89,bags_per_acre,Low
Northern,Maize,Local,Minor,6.2,53.4,75.1,48.8,139.7,689.1,28.4,2.36,4.45,bags_per_acre,Low
Northern,Maize,Local,Minor,6.91,54.4,84.9,57.9,114.1,1072.2,27.9,11.44,5.74,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,5.92,44.7,101.9,46.9,146.3,896.9,27.5,0.51,3970.9,kg_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Minor,5.61,47.2,122.5,10.4,142.5,1635.3,24.1,0.5,14.22,bags_per_acre,Medium
Eastern,Maize,Local,Minor,5.7,52.3,86.3,70.3,53.8,1268.2,25.2,3.32,7.94,bags_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,7.07,28.5,74.4,23.4,171.1,728.0,29.4,6.11,6.74,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,6.45,65.7,95.3,48.5,86.2,1126.7,27.7,4.21,14.36,bags_per_acre,Medium
Volta,Maize,Pioneer 30G19,Major,6.18,46.1,135.2,46.1,70.8,1156.4,28.3,4.12,17.52,bags_per_acre,Medium
Ashanti,Maize,Hybrid OPV,Major,6.49,40.9,5.0,40.1,184.4,1156.7,27.5,1.53,9.64,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,6.62,39.7,68.7,45.1,147.4,1113.1,25.8,0.97,3357.8,kg_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Major,4.82,36.9,114.8,76.1,131.1,1269.0,26.2,0.5,14.03,bags_per_acre,Medium
Eastern,Tomato,Local,Major,6.65,29.0,55.3,25.3,157.0,1346.1,27.5,8.01,1329.1,kg_per_acre,Low
Brong-Ahafo,Tomato,Local,Major,6.39,54.3,49.3,42.3,92.3,1249.8,27.3,1.22,2013.5,kg_per_acre,Low
Western,Tomato,Local,Major,7.07,66.7,5.0,23.7,30.3,1590.8,21.1,1.83,1088.3,kg_per_acre,Low
Eastern,Maize,Local,Major,6.5,43.4,110.3,66.6,148.6,1232.5,28.5,2.61,9.94,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Minor,5.01,53.7,206.7,44.6,131.0,1410.0,27.5,4.59,7.97,bags_per_acre,Low
Western,Maize,Pioneer 30G19,Major,5.53,59.1,47.5,55.4,71.9,1569.0,24.4,0.5,17.96,bags_per_acre,Medium
Western,Maize,Hybrid OPV,Minor,5.71,49.5,91.3,36.5,106.2,2080.0,24.0,1.64,11.1,bags_per_acre,Low
Western,Tomato,Pectomech,Minor,6.17,46.4,63.8,60.4,102.6,1864.7,26.0,0.86,3323.6,kg_per_acre,Medium
Ashanti,Tomato,Local,Major,6.3,43.6,73.5,16.5,128.3,1247.3,27.4,4.07,1618.2,kg_per_acre,Low
Ashanti,Maize,Local,Major,6.47,40.6,67.4,15.0,145.4,906.6,25.8,2.36,8.94,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Minor,6.46,35.1,127.7,78.0,91.7,984.1,26.9,5.7,14.68,bags_per_acre,Medium
Brong-Ahafo,Tomato,F1 Hybrid,Major,5.89,59.8,107.8,59.4,123.4,978.0,28.8,1.39,4686.9,kg_per_acre,Medium
Brong-Ahafo,Tomato,F1 Hybrid,Minor,5.49,57.6,79.5,14.6,89.4,1074.1,27.3,1.65,2699.9,kg_per_acre,Medium
Northern,Maize,Hybrid OPV,Minor,6.52,68.8,29.7,53.2,135.4,1044.0,28.9,1.02,6.33,bags_per_acre,Low
Western,Maize,Hybrid OPV,Minor,6.07,48.2,64.8,38.9,133.4,1621.3,24.5,0.5,11.24,bags_per_acre,Low
Northern,Maize,Local,Major,6.26,58.0,147.3,25.8,54.0,674.4,32.6,0.76,4.8,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Minor,6.15,52.5,98.8,51.2,135.9,1224.5,27.3,1.24,15.23,bags_per_acre,Medium
Eastern,Maize,Hybrid OPV,Major,5.42,60.1,116.9,28.3,133.4,1202.0,25.3,0.59,12.12,bags_per_acre,Medium
Northern,Tomato,F1 Hybrid,Minor,6.93,39.5,104.7,13.3,123.3,1050.6,30.7,0.5,2282.7,kg_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Major,5.98,59.2,93.1,9.3,184.8,1311.1,24.2,2.4,16.02,bags_per_acre,Medium
Western,Maize,Hybrid OPV,Major,5.67,21.7,34.9,69.0,225.7,1818.8,23.1,1.31,7.78,bags_per_acre,Low
Volta,Tomato,Local,Major,5.44,46.1,61.5,42.5,162.6,1140.3,27.4,0.73,1553.2,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Minor,6.44,41.1,97.1,24.4,82.7,1465.2,25.3,0.5,10.91,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Minor,6.11,50.5,71.6,29.3,90.4,1162.3,30.9,2.02,2657.7,kg_per_acre,Medium
Volta,Tomato,Pectomech,Minor,6.4,33.5,94.5,16.4,53.6,1163.7,29.5,0.5,1433.3,kg_per_acre,Low
Northern,Tomato,Pectomech,Minor,6.78,68.5,64.0,39.8,26.2,998.4,32.4,5.99,1492.9,kg_per_acre,Low
Northern,Tomato,F1 Hybrid,Major,6.57,44.3,144.7,21.1,142.6,1089.3,28.2,1.56,3240.7,kg_per_acre,Medium
Western,Tomato,F1 Hybrid,Minor,7.83,62.1,73.6,13.9,26.6,1574.5,26.0,2.12,2616.0,kg_per_acre,Medium
Northern,Tomato,F1 Hybrid,Minor,5.85,62.0,90.8,40.5,182.7,720.4,30.7,0.92,2496.0,kg_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,5.76,39.8,70.5,24.7,136.7,1009.9,24.8,2.5,16.3,bags_per_acre,Medium
Ashanti,Maize,Hybrid OPV,Minor,5.96,50.2,150.5,47.6,73.7,1733.7,28.3,0.5,13.01,bags_per_acre,Medium
Eastern,Maize,Pioneer 30G19,Major,5.49,74.6,93.4,52.2,58.5,1078.1,27.3,2.18,13.69,bags_per_acre,Medium
Brong-Ahafo,Tomato,F1 Hybrid,Major,6.21,67.4,41.7,67.7,179.6,1188.7,27.0,1.83,4151.0,kg_per_acre,Medium
Volta,Tomato,F1 Hybrid,Major,7.03,55.7,113.0,2.0,77.0,1179.7,28.2,4.65,2303.1,kg_per_acre,Low
Eastern,Tomato,Pectomech,Major,5.4,53.6,146.2,28.8,118.7,1458.9,29.0,1.47,2498.1,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,6.11,37.3,86.5,41.8,120.0,1311.0,24.6,2.68,3766.8,kg_per_acre,Medium
Brong-Ahafo,Tomato,Pectomech,Major,6.06,89.1,81.5,18.5,201.5,1209.4,26.9,4.32,2221.5,kg_per_acre,Low
Volta,Tomato,Local,Minor,6.31,48.5,62.3,44.5,112.2,1111.7,29.3,3.89,1694.1,kg_per_acre,Low
Brong-Ahafo,Tomato,Local,Major,6.2,64.8,139.9,38.4,201.1,1661.3,27.3,5.99,2265.0,kg_per_acre,Low
Northern,Tomato,Local,Minor,6.08,59.3,53.9,19.6,54.5,829.4,31.5,2.36,1003.9,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,6.61,35.8,59.5,55.7,97.2,1562.1,29.0,2.95,3386.4,kg_per_acre,Medium
Eastern,Maize,Pioneer 30G19,Major,6.06,59.1,60.1,28.9,85.4,1369.3,26.9,2.85,12.94,bags_per_acre,Medium
Volta,Tomato,F1 Hybrid,Minor,6.38,62.0,127.0,24.1,119.1,1074.0,28.6,0.8,3033.0,kg_per_acre,Medium
Ashanti,Maize,Local,Minor,5.93,53.2,81.0,22.0,139.3,1479.5,24.9,2.25,10.01,bags_per_acre,Low
Northern,Maize,Hybrid OPV,Major,6.93,39.3,92.1,26.1,151.0,1015.1,29.9,2.36,8.64,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Major,6.18,73.4,145.7,33.2,203.3,1047.6,28.2,3.03,15.67,bags_per_acre,Medium
Ashanti,Maize,Hybrid OPV,Minor,6.43,42.7,60.5,46.6,99.9,1179.0,30.1,1.15,11.47,bags_per_acre,Low
Western,Maize,Hybrid OPV,Major,4.8,61.3,62.0,30.5,60.8,1993.4,25.7,0.91,8.56,bags_per_acre,Low
Northern,Maize,Hybrid OPV,Major,5.89,55.0,61.5,68.1,83.6,834.2,28.0,0.5,7.5,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,6.86,68.4,84.9,27.8,82.9,1170.0,26.5,3.86,19.25,bags_per_acre,Medium
Western,Tomato,Pectomech,Major,5.98,51.2,115.0,30.5,113.1,2101.2,25.7,3.41,3448.4,kg_per_acre,Medium
Northern,Tomato,Pectomech,Major,6.83,63.7,113.1,21.7,153.4,603.3,31.8,3.24,1938.4,kg_per_acre,Low
Ashanti,Tomato,Pectomech,Major,6.14,14.5,5.0,28.2,119.1,1434.0,25.4,0.5,1067.9,kg_per_acre,Low
Ashanti,Maize,Hybrid OPV,Major,6.19,59.2,89.0,23.6,115.5,1327.4,30.1,3.03,13.88,bags_per_acre,Medium
Northern,Maize,Hybrid OPV,Major,6.7,58.2,47.0,7.6,79.6,892.7,30.1,2.12,6.05,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Major,6.33,52.7,43.4,47.1,107.4,1116.9,25.3,0.51,3198.0,kg_per_acre,Medium
Western,Maize,Hybrid OPV,Major,5.22,43.9,71.3,5.3,85.0,1550.6,25.2,2.12,8.86,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Major,5.08,57.6,71.2,55.2,148.1,1604.5,28.6,1.59,2957.1,kg_per_acre,Medium
Volta,Maize,Local,Major,6.62,65.5,85.6,62.1,119.6,1131.7,26.9,3.99,9.44,bags_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,5.78,43.6,115.3,22.5,106.6,1590.4,26.8,5.8,4173.4,kg_per_acre,Medium
Volta,Maize,Hybrid OPV,Major,6.1,61.4,96.1,67.0,118.8,1021.8,28.8,0.84,11.82,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,6.25,49.9,115.9,65.5,117.1,1357.9,28.9,0.5,18.76,bags_per_acre,Medium
Ashanti,Tomato,Local,Major,6.04,60.3,55.5,35.6,20.0,1557.8,24.2,0.69,1836.7,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,6.92,65.0,5.0,53.4,168.8,1241.0,24.6,1.23,2090.0,kg_per_acre,Low
Northern,Tomato,Local,Major,6.35,73.0,136.5,17.9,202.2,975.0,29.2,0.96,1565.2,kg_per_acre,Low
Eastern,Tomato,Local,Major,5.52,80.1,88.6,45.6,144.0,941.0,25.3,2.79,1879.1,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,7.19,43.8,55.9,40.9,169.4,1345.9,25.8,0.78,2838.1,kg_per_acre,Medium
Western,Tomato,Pectomech,Major,6.45,46.9,50.0,78.9,37.6,1690.0,26.2,2.38,3155.5,kg_per_acre,Medium
Northern,Tomato,Local,Minor,7.16,71.6,18.9,44.5,58.1,1146.2,30.2,0.5,959.0,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,5.62,50.0,101.7,62.1,129.4,1349.8,28.3,0.98,14.2,bags_per_acre,Medium
Volta,Maize,Pioneer 30G19,Major,5.87,53.1,145.0,38.9,159.1,1053.9,27.7,0.5,17.33,bags_per_acre,Medium
Northern,Tomato,Pectomech,Minor,6.24,58.6,129.9,48.6,24.8,819.9,27.8,1.02,1607.8,kg_per_acre,Low
Western,Tomato,Local,Major,5.29,50.3,127.6,20.8,152.6,1585.8,26.2,4.17,1964.6,kg_per_acre,Low
Western,Tomato,Pectomech,Major,6.11,69.3,55.6,21.9,93.5,1780.9,25.9,2.04,3070.3,kg_per_acre,Medium
Western,Tomato,Local,Major,4.7,67.0,113.5,8.1,144.2,1801.0,25.1,2.87,748.5,kg_per_acre,Low
Volta,Tomato,Pectomech,Minor,6.35,37.7,135.5,2.0,105.1,935.0,29.7,2.82,1591.1,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,5.44,43.0,56.0,29.4,133.7,1268.8,26.7,1.98,2093.4,kg_per_acre,Low
Northern,Tomato,F1 Hybrid,Minor,6.33,71.4,40.7,56.7,102.8,720.2,31.9,2.16,2574.2,kg_per_acre,Medium
Northern,Tomato,F1 Hybrid,Major,6.38,24.6,22.8,54.5,89.7,773.0,29.4,0.5,1562.6,kg_per_acre,Low
Western,Tomato,F1 Hybrid,Major,5.72,29.9,78.2,49.2,121.1,1751.6,25.8,3.77,3443.8,kg_per_acre,Medium
Ashanti,Tomato,F1 Hybrid,Minor,5.97,43.7,96.7,53.9,157.5,1241.9,27.6,0.5,3782.1,kg_per_acre,Medium
Ashanti,Maize,Local,Minor,6.2,50.5,100.6,23.3,20.0,1375.8,28.6,0.5,8.18,bags_per_acre,Low
Northern,Tomato,Local,Major,5.46,64.3,5.0,34.9,118.7,1213.6,26.8,0.5,896.2,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Major,6.41,52.0,123.1,20.1,83.8,1091.8,26.3,1.08,10.24,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,6.89,46.9,85.2,8.6,119.3,1182.5,28.9,3.14,3160.1,kg_per_acre,Medium
Eastern,Maize,Local,Major,5.6,50.0,133.2,50.6,154.1,1408.4,27.2,6.88,10.74,bags_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Minor,6.94,61.3,121.4,46.8,139.2,1433.7,26.3,0.74,2795.5,kg_per_acre,Medium
Volta,Tomato,Local,Major,6.59,44.4,34.6,21.4,126.5,1205.5,27.8,3.54,1506.9,kg_per_acre,Low
Eastern,Tomato,Pectomech,Major,6.27,63.6,123.4,43.7,88.5,1409.6,29.1,0.74,3191.3,kg_per_acre,Medium
Volta,Maize,Local,Minor,6.07,23.4,89.0,64.7,117.6,1094.9,26.3,3.62,5.89,bags_per_acre,Low
Ashanti,Tomato,Local,Major,6.43,55.8,80.7,23.5,210.9,1274.1,24.9,0.68,2272.9,kg_per_acre,Low
Volta,Maize,Local,Minor,5.87,40.1,70.7,63.6,122.5,894.1,25.5,6.28,9.33,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,6.72,60.5,107.2,42.3,163.7,1040.2,25.8,10.91,4160.2,kg_per_acre,Medium
Volta,Maize,Hybrid OPV,Major,6.84,41.2,92.7,2.0,48.5,1124.4,29.6,0.5,7.0,bags_per_acre,Low
Ashanti,Tomato,Pectomech,Major,6.78,47.9,80.3,29.0,234.7,1692.7,29.8,0.65,3116.4,kg_per_acre,Medium
Northern,Tomato,Pectomech,Major,6.24,45.0,107.9,32.9,88.6,1054.6,29.7,1.52,2346.6,kg_per_acre,Low
Eastern,Tomato,F1 Hybrid,Major,5.87,67.3,8.1,32.2,20.0,1327.4,26.5,0.5,2187.4,kg_per_acre,Low
Western,Tomato,F1 Hybrid,Major,5.4,49.0,86.9,46.0,213.0,2046.0,23.7,3.52,4117.2,kg_per_acre,Medium
Volta,Maize,Local,Major,5.89,47.5,69.6,25.8,20.0,1084.8,27.6,0.5,7.18,bags_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Minor,6.61,67.9,124.9,28.7,98.6,1459.9,27.9,0.5,3653.4,kg_per_acre,Medium
Northern,Tomato,Local,Major,6.77,61.3,54.9,71.4,181.0,1033.4,31.3,1.49,1788.7,kg_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,6.13,59.0,133.4,37.0,146.9,1329.5,26.9,0.81,17.36,bags_per_acre,Medium
Eastern,Maize,Hybrid OPV,Major,5.51,34.5,23.8,34.8,168.8,1462.2,26.2,0.5,8.55,bags_per_acre,Low
Northern,Maize,Local,Major,5.68,51.9,137.6,70.2,122.8,905.8,32.8,0.58,8.28,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Major,5.71,62.2,80.4,27.9,126.9,1413.3,26.6,0.5,3713.5,kg_per_acre,Medium
Northern,Maize,Local,Major,5.78,66.9,105.2,46.3,222.9,815.2,29.3,1.37,7.2,bags_per_acre,Low
Northern,Tomato,Pectomech,Minor,6.71,56.3,17.2,57.8,57.4,1045.2,29.4,0.61,1305.4,kg_per_acre,Low
Ashanti,Maize,Local,Minor,5.6,51.0,139.5,25.9,127.6,1410.4,27.8,8.61,7.78,bags_per_acre,Low
Western,Maize,Pioneer 30G19,Major,4.44,48.9,53.9,41.8,38.9,1687.3,27.2,0.5,6.37,bags_per_acre,Low
Northern,Tomato,Local,Minor,6.53,70.9,127.0,33.4,226.1,820.3,26.6,2.77,1298.3,kg_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,6.1,42.9,102.5,44.4,154.3,1171.5,24.3,1.94,3298.9,kg_per_acre,Medium
Ashanti,Maize,Hybrid OPV,Major,5.17,78.5,40.3,18.7,202.4,1084.4,27.6,1.32,7.82,bags_per_acre,Low
Eastern,Maize,Hybrid OPV,Major,6.74,49.5,93.2,26.9,196.0,1333.9,28.0,5.46,13.56,bags_per_acre,Medium
Volta,Tomato,Pectomech,Minor,6.43,41.5,51.8,24.4,89.4,1136.8,27.9,10.65,1891.7,kg_per_acre,Low
Western,Maize,Local,Major,6.1,61.4,40.4,4.9,89.0,1654.5,26.9,0.82,6.7,bags_per_acre,Low
Eastern,Tomato,Pectomech,Minor,5.45,49.1,153.6,21.5,166.0,1133.9,26.6,1.55,2235.8,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Major,6.28,50.6,58.2,2.9,184.4,921.6,24.6,3.94,9.59,bags_per_acre,Low
Northern,Maize,Local,Major,6.61,79.7,106.2,2.0,188.1,688.7,29.8,0.81,3.53,bags_per_acre,Low
Western,Tomato,Pectomech,Major,5.49,88.1,140.2,48.7,154.5,1865.9,26.3,1.01,2910.7,kg_per_acre,Medium
Eastern,Tomato,Pectomech,Major,5.73,77.3,166.7,39.7,159.8,1480.3,27.7,0.83,3145.0,kg_per_acre,Medium
Brong-Ahafo,Maize,Pioneer 30G19,Minor,7.25,53.6,85.7,58.1,109.4,1262.2,27.9,5.1,14.04,bags_per_acre,Medium
Volta,Maize,Pioneer 30G19,Major,5.9,18.8,138.6,45.8,135.2,1188.0,27.9,0.84,12.01,bags_per_acre,Medium
Northern,Tomato,F1 Hybrid,Minor,5.24,20.5,108.9,44.0,92.9,1082.2,29.2,2.85,1245.9,kg_per_acre,Low
Western,Maize,Pioneer 30G19,Major,6.48,61.7,155.6,11.4,209.8,1637.3,27.4,1.87,19.14,bags_per_acre,Medium
Northern,Maize,Hybrid OPV,Minor,6.51,55.8,127.1,21.5,103.2,806.4,29.0,0.56,8.05,bags_per_acre,Low
Ashanti,Tomato,Local,Minor,5.82,58.2,76.3,52.3,78.3,1608.4,26.5,0.5,1661.6,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Major,5.56,41.1,42.1,16.0,181.7,1337.4,25.0,4.98,10.44,bags_per_acre,Low
Northern,Tomato,Local,Major,6.41,57.1,88.6,57.8,156.3,766.5,27.8,0.5,1819.8,kg_per_acre,Low
Eastern,Tomato,Pectomech,Minor,5.37,41.4,147.7,54.1,196.7,1518.1,26.2,7.25,2371.3,kg_per_acre,Low
Ashanti,Maize,Local,Major,5.99,64.3,145.6,46.2,130.6,1163.9,24.9,1.15,11.71,bags_per_acre,Low
Ashanti,Maize,Local,Major,5.45,45.8,45.8,30.7,113.1,1540.3,28.5,1.04,9.5,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Major,6.03,56.2,144.4,8.8,20.0,1433.1,29.2,0.5,14.97,bags_per_acre,Medium
Volta,Tomato,Pectomech,Major,5.92,79.2,21.0,78.7,138.0,1249.0,27.8,0.87,2390.8,kg_per_acre,Low
Brong-Ahafo,Tomato,Local,Major,6.21,58.3,79.3,59.4,44.8,1121.9,27.9,8.03,2050.1,kg_per_acre,Low
Northern,Maize,Hybrid OPV,Minor,6.5,70.5,109.4,21.8,79.4,991.7,28.8,3.94,8.15,bags_per_acre,Low
Western,Maize,Pioneer 30G19,Major,5.42,58.3,67.6,24.4,118.9,2163.6,26.9,2.32,15.65,bags_per_acre,Medium
Brong-Ahafo,Maize,Local,Minor,6.1,37.9,14.2,31.8,147.9,1375.9,23.8,1.72,5.45,bags_per_acre,Low
Northern,Tomato,F1 Hybrid,Major,7.71,44.1,48.4,12.3,118.0,759.5,32.0,0.5,1998.6,kg_per_acre,Low
Ashanti,Tomato,Local,Minor,5.97,59.5,77.3,14.4,123.2,1455.6,25.5,3.22,1635.1,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,6.3,68.8,97.6,39.2,151.1,919.2,24.7,0.9,12.78,bags_per_acre,Medium
Eastern,Maize,Hybrid OPV,Major,6.08,45.5,141.0,31.4,50.7,1246.0,27.7,2.14,11.74,bags_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,6.59,59.2,81.9,24.4,187.0,1143.9,25.0,2.27,4053.6,kg_per_acre,Medium
Eastern,Maize,Hybrid OPV,Major,6.1,45.6,102.7,47.1,234.9,1380.0,28.3,6.24,14.78,bags_per_acre,Medium
Western,Tomato,F1 Hybrid,Major,5.98,61.5,75.4,75.5,179.6,1716.1,23.4,1.34,5720.0,kg_per_acre,High
Ashanti,Tomato,Local,Minor,5.49,48.3,88.4,32.3,148.4,1657.6,28.1,0.66,1526.2,kg_per_acre,Low
